order_item_id,order_id,sku_id,quantity
ORI0000257,ORD000076,SKU01044,2
ORI0000258,ORD000076,SKU01095,1
ORI0000259,ORD000076,SKU01098,1
ORI0000260,ORD000077,SKU01043,2
ORI0000261,ORD000077,SKU01125,5
ORI0000262,ORD000078,SKU01143,2
ORI0000263,ORD000078,SKU01152,4
ORI0000264,ORD000079,SKU01129,5
ORI0000265,ORD000079,SKU01196,4
ORI0000266,ORD000080,SKU01173,3
ORI0000267,ORD000080,SKU01087,1
ORI0000268,ORD000080,SKU01109,2
ORI0000269,ORD000080,SKU01088,1
ORI0000270,ORD000081,SKU01178,1
ORI0000271,ORD000081,SKU01060,2
ORI0000272,ORD000082,SKU01185,2
ORI0000273,ORD000082,SKU01174,2
ORI0000274,ORD000083,SKU01161,3
ORI0000275,ORD000083,SKU01031,3
ORI0000276,ORD000083,SKU01024,3
ORI0000277,ORD000083,SKU01172,1
ORI0000278,ORD000083,SKU01141,5
ORI0000279,ORD000084,SKU01141,3
ORI0000280,ORD000084,SKU01136,4
ORI0000281,ORD000085,SKU01005,2
ORI0000282,ORD000085,SKU01168,3
ORI0000283,ORD000085,SKU01169,2
ORI0000284,ORD000085,SKU01037,1
ORI0000285,ORD000086,SKU01112,2
ORI0000286,ORD000086,SKU01123,3
ORI0000287,ORD000086,SKU01197,4
ORI0000288,ORD000086,SKU01130,4
ORI0000289,ORD000086,SKU01129,5
ORI0000290,ORD000087,SKU01119,4
ORI0000291,ORD000087,SKU01198,2
ORI0000292,ORD000087,SKU01110,3
ORI0000293,ORD000088,SKU01084,3
ORI0000294,ORD000088,SKU01190,1
ORI0000295,ORD000088,SKU01181,2
ORI0000296,ORD000088,SKU01017,3
ORI0000297,ORD000089,SKU01129,5
ORI0000298,ORD000089,SKU01152,3
ORI0000299,ORD000090,SKU01200,4
ORI0000300,ORD000090,SKU01142,3
ORI0000301,ORD000090,SKU01178,3
ORI0000302,ORD000090,SKU01150,3
ORI0000303,ORD000090,SKU01067,5
ORI0000304,ORD000091,SKU01180,3
ORI0000305,ORD000091,SKU01174,3
ORI0000306,ORD000091,SKU01069,1
ORI0000307,ORD000091,SKU01041,2
ORI0000308,ORD000092,SKU01130,3
ORI0000309,ORD000092,SKU01134,3
ORI0000310,ORD000092,SKU01065,2
ORI0000311,ORD000093,SKU01175,3
ORI0000312,ORD000093,SKU01050,3
ORI0000313,ORD000094,SKU01156,4
ORI0000314,ORD000094,SKU01148,3
ORI0000315,ORD000094,SKU01153,5
ORI0000316,ORD000094,SKU01152,5
ORI0000317,ORD000095,SKU01131,3
ORI0000318,ORD000095,SKU01130,3
ORI0000319,ORD000095,SKU01116,2
ORI0000320,ORD000095,SKU01117,3
ORI0000321,ORD000096,SKU01123,3
ORI0000322,ORD000096,SKU01126,5
ORI0000323,ORD000097,SKU01156,2
ORI0000324,ORD000097,SKU01146,2
ORI0000325,ORD000097,SKU01197,5
ORI0000326,ORD000098,SKU01130,5
ORI0000327,ORD000098,SKU01136,2
ORI0000328,ORD000098,SKU01021,1
ORI0000329,ORD000099,SKU01084,1
ORI0000330,ORD000099,SKU01153,5
ORI0000331,ORD000099,SKU01062,3
ORI0000332,ORD000099,SKU01189,2
ORI0000333,ORD000100,SKU01188,2
ORI0000334,ORD000100,SKU01005,2
ORI0000335,ORD000100,SKU01012,2
ORI0000336,ORD000101,SKU01036,2
ORI0000337,ORD000101,SKU01013,1
ORI0000338,ORD000102,SKU01082,1
ORI0000339,ORD000102,SKU01103,3
ORI0000340,ORD000102,SKU01080,3
ORI0000341,ORD000102,SKU01105,2
ORI0000342,ORD000103,SKU01180,2
ORI0000343,ORD000103,SKU01143,5
ORI0000344,ORD000103,SKU01136,4
ORI0000345,ORD000103,SKU01141,4
ORI0000346,ORD000103,SKU01148,5
ORI0000347,ORD000104,SKU01087,3
ORI0000348,ORD000104,SKU01083,1
ORI0000349,ORD000104,SKU01080,3
ORI0000350,ORD000104,SKU01189,2
ORI0000351,ORD000105,SKU01076,3
ORI0000352,ORD000105,SKU01062,3
ORI0000353,ORD000106,SKU01034,1
ORI0000354,ORD000106,SKU01023,1
ORI0000355,ORD000106,SKU01032,3
ORI0000356,ORD000107,SKU01188,2
ORI0000357,ORD000107,SKU01189,2
ORI0000358,ORD000108,SKU01160,3
ORI0000359,ORD000108,SKU01039,3
ORI0000360,ORD000108,SKU01023,3
ORI0000361,ORD000109,SKU01178,1
ORI0000362,ORD000109,SKU01175,2
ORI0000363,ORD000109,SKU01067,5
ORI0000364,ORD000109,SKU01160,1
ORI0000365,ORD000109,SKU01040,1
ORI0000366,ORD000110,SKU01103,1
ORI0000367,ORD000110,SKU01083,2
ORI0000368,ORD000110,SKU01091,3
ORI0000369,ORD000110,SKU01140,4
ORI0000370,ORD000111,SKU01118,5
ORI0000371,ORD000111,SKU01198,5
ORI0000372,ORD000111,SKU01113,5
ORI0000373,ORD000112,SKU01055,2
ORI0000374,ORD000112,SKU01046,2
ORI0000375,ORD000113,SKU01173,3
ORI0000376,ORD000113,SKU01128,3
ORI0000377,ORD000113,SKU01082,1
ORI0000378,ORD000113,SKU01112,3
ORI0000379,ORD000114,SKU01091,3
ORI0000380,ORD000114,SKU01100,1
ORI0000381,ORD000114,SKU01080,1
ORI0000382,ORD000114,SKU01041,1
ORI0000383,ORD000115,SKU01182,5
ORI0000384,ORD000115,SKU01055,3
ORI0000385,ORD000115,SKU01149,5
ORI0000386,ORD000116,SKU01116,2
ORI0000387,ORD000116,SKU01153,3
ORI0000388,ORD000116,SKU01185,4
ORI0000389,ORD000116,SKU01150,4
ORI0000390,ORD000117,SKU01172,3
ORI0000391,ORD000117,SKU01062,3
ORI0000392,ORD000118,SKU01180,4
ORI0000393,ORD000118,SKU01060,4
ORI0000394,ORD000119,SKU01005,3
ORI0000395,ORD000119,SKU01066,4
ORI0000396,ORD000119,SKU01074,1
ORI0000397,ORD000120,SKU01005,3
ORI0000398,ORD000120,SKU01002,1
ORI0000399,ORD000121,SKU01131,2
ORI0000400,ORD000121,SKU01066,3
ORI0000401,ORD000121,SKU01123,3
ORI0000402,ORD000121,SKU01045,3
ORI0000403,ORD000122,SKU01160,2
ORI0000404,ORD000122,SKU01001,1
ORI0000405,ORD000122,SKU01005,1
ORI0000406,ORD000122,SKU01152,4
ORI0000407,ORD000123,SKU01018,1
ORI0000408,ORD000123,SKU01067,4
ORI0000409,ORD000124,SKU01084,3
ORI0000410,ORD000124,SKU01109,3
ORI0000411,ORD000124,SKU01080,3
ORI0000412,ORD000125,SKU01003,3
ORI0000413,ORD000125,SKU01008,2
ORI0000414,ORD000125,SKU01019,3
ORI0000415,ORD000125,SKU01017,2
ORI0000416,ORD000126,SKU01024,1
ORI0000417,ORD000126,SKU01005,3
ORI0000418,ORD000126,SKU01023,3
ORI0000419,ORD000127,SKU01153,4
ORI0000420,ORD000127,SKU01145,3
ORI0000421,ORD000128,SKU01142,3
ORI0000422,ORD000128,SKU01199,5
ORI0000423,ORD000128,SKU01156,2
ORI0000424,ORD000129,SKU01044,3
ORI0000425,ORD000129,SKU01117,4
ORI0000426,ORD000129,SKU01129,4
ORI0000427,ORD000130,SKU01133,2
ORI0000428,ORD000130,SKU01196,5
ORI0000429,ORD000131,SKU01122,3
ORI0000430,ORD000131,SKU01123,4
ORI0000431,ORD000132,SKU01188,1
ORI0000432,ORD000132,SKU01081,2
ORI0000433,ORD000133,SKU01200,5
ORI0000434,ORD000133,SKU01156,2
ORI0000435,ORD000133,SKU01146,4
ORI0000436,ORD000133,SKU01152,3
ORI0000437,ORD000134,SKU01200,5
ORI0000438,ORD000134,SKU01141,2
ORI0000439,ORD000134,SKU01153,5
ORI0000440,ORD000134,SKU01145,4
ORI0000441,ORD000135,SKU01148,2
ORI0000442,ORD000135,SKU01146,5
ORI0000443,ORD000136,SKU01082,3
ORI0000444,ORD000136,SKU01079,2
ORI0000445,ORD000136,SKU01188,2
ORI0000446,ORD000136,SKU01182,5
ORI0000447,ORD000136,SKU01103,1
ORI0000448,ORD000137,SKU01182,5
ORI0000449,ORD000137,SKU01054,4
ORI0000450,ORD000137,SKU01181,2
ORI0000451,ORD000138,SKU01200,4
ORI0000452,ORD000138,SKU01146,2
ORI0000453,ORD000138,SKU01136,4
ORI0000454,ORD000138,SKU01141,2
ORI0000455,ORD000139,SKU01174,2
ORI0000456,ORD000139,SKU01069,2
ORI0000457,ORD000139,SKU01060,3
ORI0000458,ORD000139,SKU01044,2
ORI0000459,ORD000139,SKU01067,3
ORI0000460,ORD000140,SKU01076,3
ORI0000461,ORD000140,SKU01181,5
ORI0000462,ORD000141,SKU01146,5
ORI0000463,ORD000141,SKU01076,3
ORI0000464,ORD000141,SKU01062,1
ORI0000465,ORD000142,SKU01118,3
ORI0000466,ORD000142,SKU01125,5
ORI0000467,ORD000143,SKU01199,4
ORI0000468,ORD000143,SKU01154,2
ORI0000469,ORD000143,SKU01150,2
ORI0000470,ORD000144,SKU01200,4
ORI0000471,ORD000144,SKU01146,5
ORI0000472,ORD000144,SKU01153,2
ORI0000473,ORD000145,SKU01038,3
ORI0000474,ORD000145,SKU01155,3
ORI0000475,ORD000145,SKU01040,3
ORI0000476,ORD000146,SKU01190,2
ORI0000477,ORD000146,SKU01086,2
ORI0000478,ORD000146,SKU01079,2
ORI0000479,ORD000146,SKU01189,1
ORI0000480,ORD000147,SKU01163,3
ORI0000481,ORD000147,SKU01036,1
ORI0000482,ORD000147,SKU01037,3
ORI0000483,ORD000148,SKU01018,2
ORI0000484,ORD000148,SKU01001,1
ORI0000485,ORD000149,SKU01180,3
ORI0000486,ORD000149,SKU01044,3
ORI0000487,ORD000149,SKU01043,3
ORI0000488,ORD000149,SKU01178,1
ORI0000489,ORD000150,SKU01055,3
ORI0000490,ORD000150,SKU01114,3
ORI0000491,ORD000150,SKU01124,5
ORI0000492,ORD000150,SKU01197,5
ORI0000493,ORD000151,SKU01122,4
ORI0000494,ORD000151,SKU01119,2
ORI0000495,ORD000151,SKU01116,2
ORI0000496,ORD000152,SKU01063,3
ORI0000497,ORD000152,SKU01183,5
ORI0000498,ORD000153,SKU01005,3
ORI0000499,ORD000153,SKU01110,2
ORI0000500,ORD000153,SKU01113,2
ORI0000501,ORD000154,SKU01148,4
ORI0000502,ORD000154,SKU01093,2
ORI0000503,ORD000155,SKU01160,3
ORI0000504,ORD000155,SKU01091,3
ORI0000505,ORD000155,SKU01080,3
ORI0000506,ORD000156,SKU01173,1
ORI0000507,ORD000156,SKU01066,2
ORI0000508,ORD000157,SKU01005,3
ORI0000509,ORD000157,SKU01024,1
ORI0000510,ORD000157,SKU01001,3
ORI0000511,ORD000157,SKU01169,3
ORI0000512,ORD000157,SKU01018,1
ORI0000513,ORD000158,SKU01164,1
ORI0000514,ORD000158,SKU01163,1
ORI0000515,ORD000158,SKU01037,3
ORI0000516,ORD000159,SKU01063,5
ORI0000517,ORD000159,SKU01150,4
ORI0000518,ORD000159,SKU01060,4
ORI0000519,ORD000160,SKU01060,4
ORI0000520,ORD000160,SKU01058,3
ORI0000521,ORD000160,SKU01062,2
ORI0000522,ORD000161,SKU01012,2
ORI0000523,ORD000161,SKU01169,1
ORI0000524,ORD000161,SKU01008,3
ORI0000525,ORD000162,SKU01003,2
ORI0000526,ORD000162,SKU01156,2
ORI0000527,ORD000162,SKU01017,2
ORI0000528,ORD000163,SKU01055,5
ORI0000529,ORD000163,SKU01040,2
ORI0000530,ORD000163,SKU01041,2
ORI0000531,ORD000163,SKU01062,2
ORI0000532,ORD000164,SKU01001,2
ORI0000533,ORD000164,SKU01174,2
ORI0000534,ORD000164,SKU01036,3
ORI0000535,ORD000165,SKU01103,1
ORI0000536,ORD000165,SKU01040,2
ORI0000537,ORD000165,SKU01191,2
ORI0000538,ORD000166,SKU01049,2
ORI0000539,ORD000166,SKU01181,5
ORI0000540,ORD000166,SKU01041,3
ORI0000541,ORD000166,SKU01060,3
ORI0000542,ORD000167,SKU01040,3
ORI0000543,ORD000167,SKU01178,2
ORI0000544,ORD000167,SKU01060,5
ORI0000545,ORD000168,SKU01174,3
ORI0000546,ORD000168,SKU01009,1
ORI0000547,ORD000168,SKU01145,5
ORI0000548,ORD000169,SKU01014,2
ORI0000549,ORD000169,SKU01161,3
ORI0000550,ORD000169,SKU01038,1
ORI0000551,ORD000169,SKU01140,5
ORI0000552,ORD000169,SKU01169,3
ORI0000553,ORD000170,SKU01175,1
ORI0000554,ORD000170,SKU01038,2
ORI0000555,ORD000170,SKU01037,3
ORI0000556,ORD000171,SKU01042,3
ORI0000557,ORD000171,SKU01032,3
ORI0000558,ORD000172,SKU01048,1
ORI0000559,ORD000172,SKU01178,3
ORI0000560,ORD000172,SKU01060,3
ORI0000561,ORD000173,SKU01173,3
ORI0000562,ORD000173,SKU01093,2
ORI0000563,ORD000173,SKU01143,3
ORI0000564,ORD000173,SKU01080,2
ORI0000565,ORD000174,SKU01180,2
ORI0000566,ORD000174,SKU01019,2
ORI0000567,ORD000174,SKU01175,1
ORI0000568,ORD000175,SKU01036,2
ORI0000569,ORD000175,SKU01169,2
ORI0000570,ORD000176,SKU01116,2
ORI0000571,ORD000176,SKU01124,3
ORI0000572,ORD000176,SKU01197,5
ORI0000573,ORD000177,SKU01142,1
ORI0000574,ORD000177,SKU01148,2
ORI0000575,ORD000177,SKU01069,3
ORI0000576,ORD000178,SKU01200,2
ORI0000577,ORD000178,SKU01094,1
ORI0000578,ORD000178,SKU01083,1
ORI0000579,ORD000179,SKU01024,2
ORI0000580,ORD000179,SKU01117,4
ORI0000581,ORD000179,SKU01113,5
ORI0000582,ORD000180,SKU01033,2
ORI0000583,ORD000180,SKU01012,1
ORI0000584,ORD000180,SKU01037,3
ORI0000585,ORD000180,SKU01003,3
ORI0000586,ORD000180,SKU01018,2
ORI0000587,ORD000181,SKU01174,1
ORI0000588,ORD000181,SKU01067,5
ORI0000589,ORD000182,SKU01069,1
ORI0000590,ORD000182,SKU01062,3
ORI0000591,ORD000183,SKU01119,4
ORI0000592,ORD000183,SKU01114,4
ORI0000593,ORD000184,SKU01052,3
ORI0000594,ORD000184,SKU01176,2
ORI0000595,ORD000184,SKU01040,3
ORI0000596,ORD000184,SKU01066,3
ORI0000597,ORD000185,SKU01142,1
ORI0000598,ORD000185,SKU01143,5
ORI0000599,ORD000185,SKU01050,3
ORI0000600,ORD000185,SKU01150,3
ORI0000601,ORD000185,SKU01151,2
ORI0000602,ORD000186,SKU01113,2
ORI0000603,ORD000186,SKU01196,5
ORI0000604,ORD000187,SKU01024,3
ORI0000605,ORD000187,SKU01018,1
ORI0000606,ORD000187,SKU01030,2
ORI0000607,ORD000188,SKU01130,4
ORI0000608,ORD000188,SKU01043,1
ORI0000609,ORD000188,SKU01125,2
ORI0000610,ORD000189,SKU01018,3
ORI0000611,ORD000189,SKU01001,2
ORI0000612,ORD000189,SKU01163,1
ORI0000613,ORD000189,SKU01166,2
ORI0000614,ORD000190,SKU01131,3
ORI0000615,ORD000190,SKU01128,2
ORI0000616,ORD000190,SKU01120,4
ORI0000617,ORD000190,SKU01126,2
ORI0000618,ORD000190,SKU01110,3
ORI0000619,ORD000191,SKU01103,2
ORI0000620,ORD000191,SKU01041,2
ORI0000621,ORD000192,SKU01175,3
ORI0000622,ORD000192,SKU01176,1
ORI0000623,ORD000192,SKU01173,3
ORI0000624,ORD000192,SKU01052,3
ORI0000625,ORD000192,SKU01073,2
ORI0000626,ORD000193,SKU01131,5
ORI0000627,ORD000193,SKU01079,3
ORI0000628,ORD000193,SKU01096,3
ORI0000629,ORD000193,SKU01189,3
ORI0000630,ORD000194,SKU01153,2
ORI0000631,ORD000194,SKU01112,3
ORI0000632,ORD000195,SKU01119,2
ORI0000633,ORD000195,SKU01113,3
ORI0000634,ORD000195,SKU01197,5
ORI0000635,ORD000196,SKU01052,3
ORI0000636,ORD000196,SKU01136,5
ORI0000637,ORD000196,SKU01142,2
ORI0000638,ORD000197,SKU01111,1
ORI0000639,ORD000197,SKU01129,3
ORI0000640,ORD000198,SKU01146,5
ORI0000641,ORD000198,SKU01151,2
ORI0000642,ORD000198,SKU01153,4
ORI0000643,ORD000198,SKU01158,3
ORI0000644,ORD000199,SKU01084,2
ORI0000645,ORD000199,SKU01192,2
ORI0000646,ORD000199,SKU01023,2
ORI0000647,ORD000200,SKU01046,3
ORI0000648,ORD000200,SKU01174,1
ORI0000649,ORD000200,SKU01045,1
ORI0000650,ORD000201,SKU01018,2
ORI0000651,ORD000201,SKU01020,1
ORI0000652,ORD000201,SKU01036,2
ORI0000653,ORD000201,SKU01017,2
ORI0000654,ORD000202,SKU01185,3
ORI0000655,ORD000202,SKU01136,2
ORI0000656,ORD000202,SKU01140,4
ORI0000657,ORD000202,SKU01168,3
ORI0000658,ORD000203,SKU01084,3
ORI0000659,ORD000203,SKU01199,3
ORI0000660,ORD000204,SKU01141,2
ORI0000661,ORD000204,SKU01199,4
ORI0000662,ORD000204,SKU01136,2
ORI0000663,ORD000205,SKU01119,4
ORI0000664,ORD000205,SKU01116,3
